Saved at time: 61291724 milliseconds
Integration time: 10000000
Scans to average: 0
Boxcar smoothing: 0
Wavelengths	Intensities
386.51524120	2002.00000000
386.97339351	1898.00000000
387.43159824	1880.00000000
387.88985537	2022.00000000
388.34816486	2087.00000000
388.80652667	1954.00000000
389.26494076	2107.00000000
389.72340710	2043.00000000
390.18192566	2032.00000000
390.64049638	1976.00000000
391.09911925	2097.00000000
391.55779422	1708.00000000
392.01652125	2120.00000000
392.47530030	2032.00000000
392.93413135	1207.00000000
393.39301436	2214.00000000
393.85194927	2088.00000000
394.31093607	1563.00000000
394.76997472	1961.00000000
395.22906517	1828.00000000
395.68820739	1613.00000000
396.14740134	2118.00000000
396.60664699	2313.00000000
397.06594429	1893.00000000
397.52529322	2165.00000000
397.98469374	2112.00000000
398.44414581	2020.00000000
398.90364938	1675.00000000
399.36320444	2163.00000000
399.82281093	2049.00000000
400.28246882	1990.00000000
400.74217808	2269.00000000
401.20193867	1920.00000000
401.66175054	2026.00000000
402.12161368	2209.00000000
402.58152803	2054.00000000
403.04149356	1953.00000000
403.50151023	2259.00000000
403.96157802	2121.00000000
404.42169687	2066.00000000
404.88186676	1890.00000000
405.34208764	1873.00000000
405.80235949	2077.00000000
406.26268226	1825.00000000
406.72305591	1873.00000000
407.18348042	2191.00000000
407.64395574	2270.00000000
408.10448183	2111.00000000
408.56505866	1650.00000000
409.02568620	1845.00000000
409.48636440	1725.00000000
409.94709324	1974.00000000
410.40787266	1876.00000000
410.86870264	1588.00000000
411.32958314	2026.00000000
411.79051412	1888.00000000
412.25149554	1221.00000000
412.71252738	1700.00000000
413.17360958	1995.00000000
413.63474212	2027.00000000
414.09592496	2120.00000000
414.55715806	2303.00000000
415.01844138	1877.00000000
415.47977490	1818.00000000
415.94115856	2156.00000000
416.40259233	2206.00000000
416.86407619	1604.00000000
417.32561008	1654.00000000
417.78719398	2098.00000000
418.24882784	1817.00000000
418.71051164	2237.00000000
419.17224533	1693.00000000
419.63402887	2163.00000000
420.09586223	2112.00000000
420.55774538	1928.00000000
421.01967827	1883.00000000
421.48166087	2031.00000000
421.94369315	1709.00000000
422.40577506	2111.00000000
422.86790657	1835.00000000
423.33008764	1167.00000000
423.79231823	2102.00000000
424.25459832	2136.00000000
424.71692786	1729.00000000
425.17930681	1978.00000000
425.64173514	1838.00000000
426.10421281	1976.00000000
426.56673978	1717.00000000
427.02931602	1310.00000000
427.49194150	1960.00000000
427.95461617	2166.00000000
428.41733999	2127.00000000
428.88011294	2146.00000000
429.34293497	2151.00000000
429.80580604	1531.00000000
430.26872613	1944.00000000
430.73169519	2160.00000000
431.19471319	2009.00000000
431.65778008	1895.00000000
432.12089584	1943.00000000
432.58406043	1996.00000000
433.04727380	1035.00000000
433.51053593	1666.00000000
433.97384677	2148.00000000
434.43720630	1895.00000000
434.90061446	1285.00000000
435.36407123	2148.00000000
435.82757657	2373.00000000
436.29113044	1923.00000000
436.75473281	2074.00000000
437.21838363	2033.00000000
437.68208288	1897.00000000
438.14583051	2281.00000000
438.60962648	1858.00000000
439.07347077	1929.00000000
439.53736333	2187.00000000
440.00130413	1932.00000000
440.46529314	2240.00000000
440.92933030	2031.00000000
441.39341559	1612.00000000
441.85754898	1992.00000000
442.32173041	2049.00000000
442.78595986	2127.00000000
443.25023730	1887.00000000
443.71456267	1819.00000000
444.17893595	2211.00000000
444.64335711	2254.00000000
445.10782609	1607.00000000
445.57234287	1961.00000000
446.03690741	2044.00000000
446.50151967	1750.00000000
446.96617962	1941.00000000
447.43088721	1822.00000000
447.89564242	2140.00000000
448.36044520	2218.00000000
448.82529553	2047.00000000
449.29019335	2246.00000000
449.75513864	1831.00000000
450.22013135	2188.00000000
450.68517146	2055.00000000
451.15025892	1800.00000000
451.61539370	1804.00000000
452.08057576	2177.00000000
452.54580506	2230.00000000
453.01108157	2108.00000000
453.47640525	2210.00000000
453.94177607	1852.00000000
454.40719398	2050.00000000
454.87265895	1939.00000000
455.33817095	1964.00000000
455.80372993	1924.00000000
456.26933586	2020.00000000
456.73498870	1908.00000000
457.20068842	2223.00000000
457.66643498	2155.00000000
458.13222835	1235.00000000
458.59806847	464.00000000
459.06395533	1776.00000000
459.52988888	1662.00000000
459.99586908	2156.00000000
460.46189590	2213.00000000
460.92796931	1647.00000000
461.39408926	2138.00000000
461.86025571	1826.00000000
462.32646864	2074.00000000
462.79272800	2057.00000000
463.25903377	2251.00000000
463.72538589	2202.00000000
464.19178433	2000.00000000
464.65822906	1800.00000000
465.12472005	2077.00000000
465.59125725	2057.00000000
466.05784062	2188.00000000
466.52447013	2046.00000000
466.99114575	1878.00000000
467.45786744	2028.00000000
467.92463515	1960.00000000
468.39144886	1987.00000000
468.85830852	1810.00000000
469.32521410	2017.00000000
469.79216557	2153.00000000
470.25916288	2015.00000000
470.72620600	2058.00000000
471.19329489	1824.00000000
471.66042952	1956.00000000
472.12760985	2085.00000000
472.59483583	1990.00000000
473.06210745	1929.00000000
473.52942465	2175.00000000
473.99678740	2334.00000000
474.46419567	1569.00000000
474.93164941	1940.00000000
475.39914860	2026.00000000
475.86669319	1655.00000000
476.33428315	2243.00000000
476.80191844	1938.00000000
477.26959902	2113.00000000
477.73732486	1817.00000000
478.20509592	1904.00000000
478.67291216	1929.00000000
479.14077355	2027.00000000
479.60868006	1923.00000000
480.07663163	2040.00000000
480.54462824	1717.00000000
481.01266985	2052.00000000
481.48075642	1941.00000000
481.94888792	2130.00000000
482.41706430	1809.00000000
482.88528554	1924.00000000
483.35355160	1891.00000000
483.82186243	2115.00000000
484.29021801	2184.00000000
484.75861829	1978.00000000
485.22706324	1841.00000000
485.69555282	2157.00000000
486.16408699	1958.00000000
486.63266573	1880.00000000
487.10128898	1862.00000000
487.56995672	2124.00000000
488.03866891	2064.00000000
488.50742551	1828.00000000
488.97622648	1796.00000000
489.44507179	1203.00000000
489.91396139	1695.00000000
490.38289527	1477.00000000
490.85187337	2049.00000000
491.32089566	2113.00000000
491.78996210	2145.00000000
492.25907266	1781.00000000
492.72822730	703.00000000
493.19742598	1990.00000000
493.66666867	2001.00000000
494.13595533	2065.00000000
494.60528591	1902.00000000
495.07466040	2113.00000000
495.54407874	1860.00000000
496.01354091	2002.00000000
496.48304686	1879.00000000
496.95259656	2000.00000000
497.42218997	2126.00000000
497.89182706	1617.00000000
498.36150779	2033.00000000
498.83123211	1958.00000000
499.30100000	1892.00000000
499.77081142	2117.00000000
500.24066633	2150.00000000
500.71056469	1880.00000000
501.18050648	1915.00000000
501.65049164	2161.00000000
502.12052014	2106.00000000
502.59059195	2137.00000000
503.06070704	1945.00000000
503.53086535	1549.00000000
504.00106686	1158.00000000
504.47131154	1977.00000000
504.94159933	1926.00000000
505.41193021	1791.00000000
505.88230414	2164.00000000
506.35272109	2250.00000000
506.82318101	2277.00000000
507.29368386	2040.00000000
507.76422962	2264.00000000
508.23481825	2171.00000000
508.70544970	1949.00000000
509.17612395	1894.00000000
509.64684095	2084.00000000
510.11760067	2204.00000000
510.58840307	2262.00000000
511.05924812	2130.00000000
511.53013577	2278.00000000
512.00106600	2155.00000000
512.47203875	2329.00000000
512.94305401	2076.00000000
513.41411173	2077.00000000
513.88521187	2213.00000000
514.35635440	2151.00000000
514.82753927	1800.00000000
515.29876647	1889.00000000
515.77003593	2160.00000000
516.24134764	1761.00000000
516.71270155	2142.00000000
517.18409763	2226.00000000
517.65553584	2207.00000000
518.12701614	2093.00000000
518.59853850	2290.00000000
519.07010287	1535.00000000
519.54170923	2125.00000000
520.01335753	1686.00000000
520.48504774	2098.00000000
520.95677983	2172.00000000
521.42855375	1921.00000000
521.90036946	1964.00000000
522.37222694	1948.00000000
522.84412615	1994.00000000
523.31606704	2138.00000000
523.78804958	2071.00000000
524.26007374	2088.00000000
524.73213947	2090.00000000
525.20424675	2076.00000000
525.67639553	2057.00000000
526.14858578	2263.00000000
526.62081745	1824.00000000
527.09309052	2102.00000000
527.56540495	2275.00000000
528.03776070	2049.00000000
528.51015773	2066.00000000
528.98259601	2227.00000000
529.45507550	1942.00000000
529.92759616	2168.00000000
530.40015795	2011.00000000
530.87276085	2153.00000000
531.34540481	2244.00000000
531.81808979	2052.00000000
532.29081576	2035.00000000
532.76358269	2279.00000000
533.23639053	2171.00000000
533.70923924	2035.00000000
534.18212880	2440.00000000
534.65505917	2715.00000000
535.12803030	2842.00000000
535.60104217	3192.00000000
536.07409473	3601.00000000
536.54718794	4395.00000000
537.02032178	5636.00000000
537.49349620	5298.00000000
537.96671117	9502.00000000
538.43996665	12385.00000000
538.91326261	14699.00000000
539.38659900	16073.00000000
539.85997579	16383.00000000
540.33339294	16383.00000000
540.80685042	16383.00000000
541.28034819	16383.00000000
541.75388622	16383.00000000
542.22746446	16383.00000000
542.70108287	16383.00000000
543.17474144	16383.00000000
543.64844010	16383.00000000
544.12217884	16383.00000000
544.59595761	15605.00000000
545.06977637	12779.00000000
545.54363510	9339.00000000
546.01753374	6739.00000000
546.49147227	4878.00000000
546.96545065	3930.00000000
547.43946884	3269.00000000
547.91352680	2700.00000000
548.38762450	2349.00000000
548.86176191	1832.00000000
549.33593897	2512.00000000
549.81015567	1883.00000000
550.28441195	2055.00000000
550.75870779	2185.00000000
551.23304315	1112.00000000
551.70741799	2361.00000000
552.18183227	2268.00000000
552.65628595	2133.00000000
553.13077901	2048.00000000
553.60531140	1897.00000000
554.07988309	2073.00000000
554.55449403	2056.00000000
555.02914420	2169.00000000
555.50383356	2316.00000000
555.97856206	2204.00000000
556.45332968	1792.00000000
556.92813637	1571.00000000
557.40298210	1899.00000000
557.87786683	1860.00000000
558.35279053	1937.00000000
558.82775315	1705.00000000
559.30275467	2143.00000000
559.77779504	2066.00000000
560.25287423	1992.00000000
560.72799221	1557.00000000
561.20314892	2298.00000000
